depth,age,d18O_ruber
0.0,1660,-1.7990000000000002
10.0,2435,-1.7719999999999998
15.0,2822,-1.713
20.0,3209,-1.767
26.0,3674,-1.671
30.0,3984,-1.633
35.0,4371,-1.73
40.0,4758,-1.703
45.0,5145,-1.73
50.0,5533,-1.689
55.0,5920,-1.577
60.0,6282,-1.569
65.0,6643,-1.6
70.0,7004,-1.44
76.0,7438,-1.423
80.0,7728,-1.578
85.0,8089,-1.4680000000000002
90.0,8451,-1.402
97.0,8957,-1.6969999999999998
100.0,9174,-1.436
105.5,9539,-1.499
110.0,9897,-1.153
116.0,10331,-1.2830000000000001
120.0,10620,-1.197
125.0,10986,-1.024
130.0,11352,-0.919
135.0,11718,-0.927
140.0,12085,-0.774
146.0,12524,-0.733
151.0,12890,-0.531
154.0,12936,-0.513
161.0,13042,-0.5710000000000001
165.0,13104,-0.619
170.0,13180,-0.7509999999999999
174.0,13409,-0.426
180.0,13637,-0.706
184.0,13820,-0.502
190.0,14161,-0.41
194.0,14388,-0.396
200.0,14728,-0.52
205.0,15012,-0.419
210.0,15296,-0.386
215.0,15580,-0.556
220.0,16139,-0.565
224.0,16585,-0.821
230.0,17256,-0.268
235.0,17814,-0.23399999999999999
240.0,18373,-0.309
250.0,19490,-0.252
256.0,20165,-0.258
260.0,20614,-0.225
264.0,21064,-0.278
269.0,21626,-0.28800000000000003
280.0,22863,-0.19699999999999998
290.0,23987,-0.28800000000000003
300.0,25111,-0.11800000000000001
310.0,26236,-0.485
320.0,27360,-0.508
330.0,27835,-0.348
340.0,28310,-0.395
350.0,28785,-0.519
360.0,29260,-0.298
370.0,29735,-0.6779999999999999
380.0,30210,-0.556
390.0,30685,-0.779
400.0,31160,-0.596
